KEGGID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	PvalueAdj	Genes
05012	5.69766044474021e-13	20.7704014694306	1.02737603305785	14	117	Parkinson's disease	5.35580081805579e-11	SLC25A5, ATP5F1, ATP5O, COX7A2, NDUFA4, NDUFB9, NDUFB10, NDUFV1, SDHA, UQCRB, UQCRC1, UQCRC2, ATP5H, CYCS
01100	8.42390147101321e-12	7.27697246813892	9.78202479338843	32	1114	Metabolic pathways	3.35923874025395e-10	ACACB, ACADM, ACAT1, ACO2, AMY1A, ATP5F1, ATP5O, CKB, DLAT, DLD, ACSL4, GOT1, HADHB, NDUFA4, NDUFB9, NDUFB10, NDUFV1, OGDH, PDHA1, SDHA, UQCRB, UQCRC1, UQCRC2, PDHX, B4GALT2, SUCLA2, ATP5H, ATP5L, HSD17B12, COQ3, MCCC1, PGAM4
05016	1.23012530738943e-11	14.3904320987654	1.55423553719008	15	177	Huntington's disease	3.35923874025395e-10	SLC25A5, ATP5F1, ATP5O, COX7A2, NDUFA4, NDUFB9, NDUFB10, NDUFV1, SDHA, SOD2, UQCRB, UQCRC1, UQCRC2, ATP5H, CYCS
00190	1.42946329372508e-11	18.2380834160874	1.04493801652893	13	119	Oxidative phosphorylation	3.35923874025395e-10	ATP5F1, ATP5O, COX7A2, NDUFA4, NDUFB9, NDUFB10, NDUFV1, SDHA, UQCRB, UQCRC1, UQCRC2, ATP5H, ATP5L
05010	4.78009090644846e-11	14.4401544401544	1.41373966942149	14	161	Alzheimer's disease	8.9865709041231e-10	ATP5F1, ATP5O, CALM2, COX7A2, NDUFA4, NDUFB9, NDUFB10, NDUFV1, SDHA, UQCRB, UQCRC1, UQCRC2, ATP5H, CYCS
00020	4.58793646984287e-09	39.6620553359684	0.263429752066116	7	30	Citrate cycle (TCA cycle)	7.18776713608716e-08	ACO2, DLAT, DLD, OGDH, PDHA1, SDHA, SUCLA2
00620	2.22976066195257e-05	17.7701863354037	0.351239669421488	5	40	Pyruvate metabolism	0.000299425003176488	ACACB, ACAT1, DLAT, DLD, PDHA1
00280	3.5839937665579e-05	15.9364548494983	0.386363636363636	5	44	Valine, leucine and isoleucine degradation	0.000421119267570554	ACADM, ACAT1, DLD, HADHB, MCCC1
00640	0.00015821512680278	17.4133738601824	0.28099173553719	4	32	Propanoate metabolism	0.00165246910216237	ACACB, ACADM, ACAT1, SUCLA2
04260	0.000409235356029284	9.09367007672634	0.641012396694215	5	73	Cardiac muscle contraction	0.00384681234667527	ATP1B1, COX7A2, UQCRB, UQCRC1, UQCRC2
