Category	Size	ExpCount	Count	OddsRatio	Pvalue	PvalueAdj	Genes
BIOCARTA_KREB_PATHWAY	8	0.0212725	4	387.647	3.30444e-09	7.17063e-07	ACO2, OGDH, SDHA, SUCLA2
BIOCARTA_ETC_PATHWAY	12	0.0319087	3	128.125	3.96606e-06	0.000430318	CYCS, SDHA, UQCRC1
BIOCARTA_MITOCHONDRIA_PATHWAY	21	0.0558402	2	40.1174	0.00142483	0.0808494	AIFM1, CYCS
BIOCARTA_CERAMIDE_PATHWAY	22	0.0584993	2	38.1107	0.00156459	0.0808494	AIFM1, CYCS
BIOCARTA_PGC1A_PATHWAY	24	0.0638174	2	34.6446	0.00186289	0.0808494	CALM2, ESRRA
BIOCARTA_BCR_PATHWAY	35	0.093067	2	23.0909	0.00394005	0.142498	CALM2, LYN
BIOCARTA_FCER1_PATHWAY	39	0.103703	2	20.5928	0.00487296	0.151062	CALM2, LYN
BIOCARTA_EPHA4_PATHWAY	10	0.0265906	1	42.0082	0.0262772	0.53722	LYN
BIOCARTA_EPONFKB_PATHWAY	11	0.0292496	1	37.8066	0.0288669	0.53722	SOD2
BIOCARTA_D4GDI_PATHWAY	13	0.0345677	1	31.5041	0.0340259	0.53722	CYCS
BIOCARTA_P27_PATHWAY	13	0.0345677	1	31.5041	0.0340259	0.53722	NEDD8
BIOCARTA_CACAM_PATHWAY	14	0.0372268	1	29.0801	0.0365952	0.53722	CALM2
BIOCARTA_HSP27_PATHWAY	15	0.0398859	1	27.0023	0.0391577	0.53722	CYCS
BIOCARTA_LONGEVITY_PATHWAY	15	0.0398859	1	27.0023	0.0391577	0.53722	SOD2
BIOCARTA_CCR5_PATHWAY	18	0.047863	1	22.2358	0.0468048	0.53722	CALM2
BIOCARTA_CALCINEURIN_PATHWAY	19	0.0505221	1	21	0.0493404	0.53722	CALM2
BIOCARTA_NDKDYNAMIN_PATHWAY	19	0.0505221	1	21	0.0493404	0.53722	CALM2
BIOCARTA_MEF2D_PATHWAY	19	0.0505221	1	21	0.0493404	0.53722	CALM2
BIOCARTA_GCR_PATHWAY	20	0.0531811	1	19.8943	0.0518693	0.53722	CALM2
BIOCARTA_TFF_PATHWAY	21	0.0558402	1	18.8992	0.0543915	0.53722	CYCS
BIOCARTA_CHEMICAL_PATHWAY	22	0.0584993	1	17.9988	0.0569071	0.53722	CYCS
BIOCARTA_NOS1_PATHWAY	22	0.0584993	1	17.9988	0.0569071	0.53722	CALM2
BIOCARTA_CASPASE_PATHWAY	23	0.0611583	1	17.1803	0.059416	0.53722	CYCS
BIOCARTA_PTDINS_PATHWAY	23	0.0611583	1	17.1803	0.059416	0.53722	LYN
BIOCARTA_VIP_PATHWAY	27	0.0717945	1	14.5359	0.0693857	0.593013	CALM2
BIOCARTA_PYK2_PATHWAY	29	0.0771127	1	13.4971	0.0743312	0.593013	CALM2
BIOCARTA_HDAC_PATHWAY	30	0.0797717	1	13.0314	0.0767941	0.593013	CALM2
BIOCARTA_NO1_PATHWAY	31	0.0824308	1	12.5967	0.0792506	0.593013	CALM2
BIOCARTA_MYOSIN_PATHWAY	31	0.0824308	1	12.5967	0.0792506	0.593013	ARHGEF6
BIOCARTA_DEATH_PATHWAY	33	0.0877489	1	11.8089	0.0841441	0.599007	CYCS
BIOCARTA_AT1R_PATHWAY	34	0.0904079	1	11.4508	0.0865811	0.599007	CALM2
BIOCARTA_GPCR_PATHWAY	35	0.093067	1	11.1138	0.0890117	0.599007	CALM2
BIOCARTA_FMLP_PATHWAY	37	0.0983851	1	10.4959	0.0938537	0.599007	CALM2
BIOCARTA_PAR1_PATHWAY	37	0.0983851	1	10.4959	0.0938537	0.599007	ARHGEF6
BIOCARTA_BIOPEPTIDES_PATHWAY	43	0.114339	1	8.99532	0.108227	0.671007	CALM2
BIOCARTA_TCR_PATHWAY	45	0.119658	1	8.58607	0.112968	0.680946	CALM2
BIOCARTA_NFAT_PATHWAY	54	0.143589	1	7.12666	0.133994	0.785857	CALM2
BIOCARTA_HIVNEF_PATHWAY	58	0.154225	1	6.62597	0.143179	0.817627	CYCS
BIOCARTA_RELA_PATHWAY	16	0.0425449	0	0	1	1	
BIOCARTA_CSK_PATHWAY	22	0.0584993	0	0	1	1	
BIOCARTA_SRCRPTP_PATHWAY	11	0.0292496	0	0	1	1	
BIOCARTA_AMI_PATHWAY	20	0.0531811	0	0	1	1	
BIOCARTA_GRANULOCYTES_PATHWAY	14	0.0372268	0	0	1	1	
BIOCARTA_LYM_PATHWAY	11	0.0292496	0	0	1	1	
BIOCARTA_ARAP_PATHWAY	18	0.047863	0	0	1	1	
BIOCARTA_AGR_PATHWAY	36	0.0957261	0	0	1	1	
BIOCARTA_AKAP95_PATHWAY	12	0.0319087	0	0	1	1	
BIOCARTA_AKT_PATHWAY	22	0.0584993	0	0	1	1	
BIOCARTA_ALK_PATHWAY	37	0.0983851	0	0	1	1	
BIOCARTA_ACE2_PATHWAY	13	0.0345677	0	0	1	1	
BIOCARTA_ASBCELL_PATHWAY	12	0.0319087	0	0	1	1	
BIOCARTA_DNAFRAGMENT_PATHWAY	10	0.0265906	0	0	1	1	
BIOCARTA_SPPA_PATHWAY	22	0.0584993	0	0	1	1	
BIOCARTA_ATM_PATHWAY	20	0.0531811	0	0	1	1	
BIOCARTA_AGPCR_PATHWAY	13	0.0345677	0	0	1	1	
BIOCARTA_BCELLSURVIVAL_PATHWAY	16	0.0425449	0	0	1	1	
BIOCARTA_BLYMPHOCYTE_PATHWAY	11	0.0292496	0	0	1	1	
BIOCARTA_NEUROTRANSMITTERS_PATHWAY	6	0.0159543	0	0	1	1	
BIOCARTA_RANKL_PATHWAY	14	0.0372268	0	0	1	1	
BIOCARTA_CDMAC_PATHWAY	16	0.0425449	0	0	1	1	
BIOCARTA_CARM_ER_PATHWAY	35	0.093067	0	0	1	1	
BIOCARTA_CBL_PATHWAY	13	0.0345677	0	0	1	1	
BIOCARTA_CCR3_PATHWAY	23	0.0611583	0	0	1	1	
BIOCARTA_CD40_PATHWAY	15	0.0398859	0	0	1	1	
BIOCARTA_MCM_PATHWAY	18	0.047863	0	0	1	1	
BIOCARTA_G1_PATHWAY	28	0.0744536	0	0	1	1	
BIOCARTA_G2_PATHWAY	24	0.0638174	0	0	1	1	
BIOCARTA_CELL2CELL_PATHWAY	14	0.0372268	0	0	1	1	
BIOCARTA_LAIR_PATHWAY	17	0.045204	0	0	1	1	
BIOCARTA_TID_PATHWAY	19	0.0505221	0	0	1	1	
BIOCARTA_CLASSIC_PATHWAY	14	0.0372268	0	0	1	1	
BIOCARTA_COMP_PATHWAY	19	0.0505221	0	0	1	1	
BIOCARTA_VDR_PATHWAY	12	0.0319087	0	0	1	1	
BIOCARTA_CTCF_PATHWAY	23	0.0611583	0	0	1	1	
BIOCARTA_CTL_PATHWAY	13	0.0345677	0	0	1	1	
BIOCARTA_CXCR4_PATHWAY	24	0.0638174	0	0	1	1	
BIOCARTA_CELLCYCLE_PATHWAY	23	0.0611583	0	0	1	1	
BIOCARTA_CFTR_PATHWAY	12	0.0319087	0	0	1	1	
BIOCARTA_CYTOKINE_PATHWAY	21	0.0558402	0	0	1	1	
BIOCARTA_INFLAM_PATHWAY	29	0.0771127	0	0	1	1	
BIOCARTA_DC_PATHWAY	22	0.0584993	0	0	1	1	
BIOCARTA_P35ALZHEIMERS_PATHWAY	11	0.0292496	0	0	1	1	
BIOCARTA_RNA_PATHWAY	10	0.0265906	0	0	1	1	
