Category	Size	ExpCount	Count	OddsRatio	Pvalue	PvalueAdj	Genes
GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_DN	188	0.499903	12	28.2297	1.38337e-13	2.64224e-10	ACAT1, APOO, DLAT, ETFDH, FAM162A, GOT1, HADHB, MGST3, PDHA1, PPIC, STX4, UQCRC1
GSE22886_DAY1_VS_DAY7_MONOCYTE_IN_CULTURE_DN	193	0.513198	10	22.2211	1.26082e-10	1.20408e-07	ACADM, ACAT1, AIFM1, DLAT, FAM162A, HADHB, MGST3, PPIC, SLC25A5, UQCRC2
GSE14769_20MIN_VS_360MIN_LPS_BMDM_UP	190	0.505221	8	17.5641	4.80886e-08	1.79815e-05	ACAT1, APOO, COQ9, COX7A2, ETFDH, NDUFA4, RPL9, SDHA
GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_DN	191	0.50788	8	17.4677	5.00801e-08	1.79815e-05	ACAT1, ACO2, ANG, ATP1B1, DECR1, DLAT, HIGD1A, NEDD8
GSE2706_2H_VS_8H_R848_AND_LPS_STIM_DC_UP	191	0.50788	8	17.4677	5.00801e-08	1.79815e-05	ACAT1, AIFM1, ARHGEF6, GSTK1, NDUFB10, PRCP, SLC25A5, UQCRC1
GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_AT_DX_UP	194	0.515857	8	17.1849	5.64865e-08	1.79815e-05	COX7A2, HIGD1A, IFI44L, MCCC1, NACA, SLC25A5, UQCRB, UQCRC2
GSE27786_BCELL_VS_NKCELL_DN	189	0.502562	7	15.2361	8.09829e-07	0.000179349	ANG, DNAJC4, HSD17B12, ISCU, PRKRA, RBM47, NCEH1
GSE17721_CTRL_VS_POLYIC_24H_BMDM_UP	192	0.510539	7	14.988	8.99886e-07	0.000179349	AIFM1, DLD, NEDD8, PRKRA, RNASE4, SMPDL3A, TP53INP2
GSE22886_DC_VS_MONOCYTE_UP	193	0.513198	7	14.9071	9.3171e-07	0.000179349	ACO2, AIFM1, APOO, ATP1B1, FAM162A, GOT1, PPIC
GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_TRICHOSTATINA_CD8_TCELL_DN	194	0.515857	7	14.8271	9.64472e-07	0.000179349	CHCHD10, CKB, CRABP2, FAM162A, MGST3, NDUFV1, RNF14
GSE22886_NEUTROPHIL_VS_MONOCYTE_DN	196	0.521175	7	14.6695	1.0329e-06	0.000179349	FASTKD1, IMMT, MGST3, NDUFA4, PDHA1, RPL9, UQCRC1
GSE37416_CTRL_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP	180	0.47863	6	13.5455	9.30758e-06	0.00123613	ACACB, ACAT1, ARHGEF6, ATP1B1, SHISA2, TCN1
GSE27786_LSK_VS_CD8_TCELL_UP	184	0.489266	6	13.24	1.05477e-05	0.00123613	AIFM1, CNBP, MGST3, TELO2, TMEM106C, TRIM47
GSE17721_LPS_VS_CPG_4H_BMDM_DN	185	0.491926	6	13.1657	1.08778e-05	0.00123613	AIFM1, COQ9, MRPL41, NDUFB10, RNASE4, SHISA2
GSE17721_PAM3CSK4_VS_GADIQUIMOD_1H_BMDM_DN	189	0.502562	6	12.8768	1.22826e-05	0.00123613	ACADM, CA9, DECR1, DLAT, FTH1, HADHB
GSE17721_4H_VS_24H_POLYIC_BMDM_UP	191	0.50788	6	12.7371	1.3038e-05	0.00123613	AIFM1, CHCHD10, GSTK1, NDUFB10, RNASE4, UQCRC1
GSE27786_LIN_NEG_VS_ERYTHROBLAST_UP	191	0.50788	6	12.7371	1.3038e-05	0.00123613	AIFM1, CNBP, ETFDH, LYN, TELO2, TRIM47
GSE3982_MAST_CELL_VS_CENT_MEMORY_CD4_TCELL_UP	191	0.50788	6	12.7371	1.3038e-05	0.00123613	ACSL4, ARHGEF6, COX7A2, LYN, NDUFA4, WIPI1
GSE17721_POLYIC_VS_CPG_12H_BMDM_DN	193	0.513198	6	12.6003	1.38306e-05	0.00123613	FTH1, HADHB, IFI44L, MRPL41, PPIC, WIPI1
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP	194	0.515857	6	12.533	1.42412e-05	0.00123613	AIFM1, CNBP, DLD, GOT1, HNRNPR, IMMT
GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP	194	0.515857	6	12.533	1.42412e-05	0.00123613	DLD, GOT1, IMMT, RPL9, TPT1, UQCRC2
GSE17721_PAM3CSK4_VS_GADIQUIMOD_0.5H_BMDM_UP	194	0.515857	6	12.533	1.42412e-05	0.00123613	ATP1B1, CLYBL, KRTAP20-2, MRPL41, SKA2, SOD2
GSE22886_CTRL_VS_LPS_24H_DC_UP	196	0.521175	6	12.4005	1.5092e-05	0.00123613	ACO2, ARHGEF6, CALM2, NACA, NDUFA4, NDUFV1
GSE24634_NAIVE_CD4_TCELL_VS_DAY5_IL4_CONV_TREG_DN	197	0.523834	6	12.3353	1.55325e-05	0.00123613	ACAT1, ACO2, CYCS, IMMT, RNF14, SLC25A5
GSE17721_PAM3CSK4_VS_CPG_12H_BMDM_UP	185	0.491926	5	10.8178	0.000142981	0.00605535	ACADM, ETFDH, MRPL41, NDUFA4, PRKRA
GSE17721_PAM3CSK4_VS_GADIQUIMOD_12H_BMDM_UP	186	0.494585	5	10.7578	0.000146621	0.00605535	ACADM, COQ9, GSTM1, HADHB, NDUFA4
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_72H_CD4_TCELL_DN	186	0.494585	5	10.7578	0.000146621	0.00605535	ACAT1, CLYBL, HADHB, IMMT, SLC39A8
GSE17721_PAM3CSK4_VS_CPG_8H_BMDM_UP	187	0.497244	5	10.6985	0.000150331	0.00605535	COQ9, HSD17B12, MRPL41, NDUFB10, TP53INP2
GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_DN	188	0.499903	5	10.6398	0.000154113	0.00605535	AIFM1, DLAT, IFI44L, IMMT, RNF14
GSE17721_CTRL_VS_CPG_4H_BMDM_UP	189	0.502562	5	10.5817	0.000157967	0.00605535	ACAT1, AIFM1, FASTKD1, NDUFA4, RNASE4
GSE17721_POLYIC_VS_PAM3CSK4_12H_BMDM_DN	189	0.502562	5	10.5817	0.000157967	0.00605535	ACADM, COQ9, FTH1, HNRNPR, SUCLA2
GSE17721_4_VS_24H_CPG_BMDM_DN	189	0.502562	5	10.5817	0.000157967	0.00605535	ANTXR1, COQ9, MRPL41, OGDH, PPIC
GSE17721_CTRL_VS_POLYIC_12H_BMDM_UP	190	0.505221	5	10.5243	0.000161895	0.00605535	ACO2, CLYBL, FASTKD1, HADHB, WIPI1
GSE17721_12H_VS_24H_LPS_BMDM_DN	190	0.505221	5	10.5243	0.000161895	0.00605535	COQ3, FAHD1, NDUFA4, RPL9, UQCRB
GSE22886_NAIVE_CD4_TCELL_VS_MEMORY_TCELL_DN	190	0.505221	5	10.5243	0.000161895	0.00605535	ARHGEF6, CNBP, CPEB3, HIGD1A, SLC39A8
GSE360_CTRL_VS_B_MALAYI_HIGH_DOSE_MAC_UP	190	0.505221	5	10.5243	0.000161895	0.00605535	CALM2, GPR3, IMMT, PRCP, RNASE4
GSE15215_CD2_POS_VS_NEG_PDC_DN	191	0.50788	5	10.4675	0.000165896	0.00605535	AIFM1, COQ9, GOT1, SDHA, STX4
GSE17721_CTRL_VS_GARDIQUIMOD_12H_BMDM_UP	191	0.50788	5	10.4675	0.000165896	0.00605535	CLYBL, HADHB, RNASE4, SMPDL3A, WIPI1
GSE17721_LPS_VS_PAM3CSK4_8H_BMDM_DN	191	0.50788	5	10.4675	0.000165896	0.00605535	DNAJC4, ETFDH, HSD17B12, MRPL41, UQCRC1
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY7_DN	191	0.50788	5	10.4675	0.000165896	0.00605535	ANG, APOO, FTH1, LYN, STX4
GSE17721_LPS_VS_GARDIQUIMOD_8H_BMDM_DN	192	0.510539	5	10.4113	0.000169973	0.00605535	ACADM, ETFDH, TMEM106C, UQCRB, UQCRC1
GSE22886_NEUTROPHIL_VS_DC_DN	192	0.510539	5	10.4113	0.000169973	0.00605535	AIFM1, ATP1B1, MGST3, PDHX, RNF14
GSE10325_BCELL_VS_LUPUS_BCELL_DN	193	0.513198	5	10.3557	0.000174125	0.00605535	ACSL4, CYCS, IFI44L, NDUFA4, RBM47
GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	193	0.513198	5	10.3557	0.000174125	0.00605535	ANG, CALM2, NACA, RNASE4, UQCRC2
GSE1460_CORD_VS_ADULT_BLOOD_NAIVE_CD4_TCELL_DN	193	0.513198	5	10.3557	0.000174125	0.00605535	ACACB, ACAT1, CNBP, GOT1, TPT1
GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_CD8_TCELL_DN	193	0.513198	5	10.3557	0.000174125	0.00605535	CHCHD10, DECR1, FAM162A, MGST3, RNF14
GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN	193	0.513198	5	10.3557	0.000174125	0.00605535	CHCHD10, DECR1, FAM162A, NDUFV1, RNF14
GSE17580_UNINFECTED_VS_S_MANSONI_INF_TEFF_DN	193	0.513198	5	10.3557	0.000174125	0.00605535	AIFM1, NDUFA4, RNASE4, SLC39A8, SMPDL3A
GSE17721_12H_VS_24H_PAM3CSK4_BMDM_DN	193	0.513198	5	10.3557	0.000174125	0.00605535	CLYBL, NDUFA4, NDUFB10, SDHA, UQCRC2
GSE17721_LPS_VS_PAM3CSK4_6H_BMDM_DN	194	0.515857	5	10.3006	0.000178355	0.00605535	AIFM1, COQ9, FAM162A, HSD17B12, TP53INP2
