Category	Size	ExpCount	Count	OddsRatio	Pvalue	PvalueAdj	Genes
CAMP_UP.V1_UP	191	0.50788	6	12.7371	1.3038e-05	0.00246418	ACO2, ACSL4, NDUFV1, SLC25A5, WIPI1, ZDHHC23
SIRNA_EIF4GI_UP	91	0.241974	4	17.7908	0.000106392	0.010054	HADHB, PDHA1, SLC25A5, UQCRC2
MTOR_UP.N4.V1_UP	195	0.518516	5	10.2462	0.000182663	0.0115078	GAS2L1, GOT1, ISOC2, PDHX, STX4
ATF2_UP.V1_DN	184	0.489266	4	8.58151	0.00152174	0.051854	CA9, RNASE4, SLC39A8, SOD2
LEF1_UP.V1_DN	184	0.489266	4	8.58151	0.00152174	0.051854	ATP1B1, DECR1, RBM47, SMPDL3A
MEK_UP.V1_DN	188	0.499903	4	8.39423	0.00164616	0.051854	FASTKD1, IFI44L, SMPDL3A, TCN1
RB_P107_DN.V1_DN	122	0.324405	3	9.66702	0.00430278	0.116175	COQ9, CRABP2, HSD17B12
RELA_DN.V1_DN	134	0.356314	3	8.7792	0.00558406	0.131923	CA9, GPR3, GSTM1
TBK1.DN.48HRS_DN	50	0.132953	2	15.8698	0.00790393	0.165983	DLD, PDHX
SNF5_DN.V1_UP	166	0.441403	3	7.05077	0.0100289	0.189546	ATP1B1, GOT1, IFI44L
ERB2_UP.V1_DN	184	0.489266	3	6.3471	0.0132204	0.220489	FASTKD1, IFI44L, TCN1
EGFR_UP.V1_DN	188	0.499903	3	6.20932	0.0139993	0.220489	IFI44L, SLC39A8, TCN1
SIRNA_EIF4GI_DN	94	0.249951	2	8.27201	0.0261463	0.380127	HSD17B12, PDHX
STK33_SKM_DN	257	0.683378	3	4.51575	0.0315122	0.386772	NUDT11, SHISA2, ZDHHC23
STK33_DN	262	0.696673	3	4.42809	0.0330813	0.386772	NUDT11, SHISA2, ZDHHC23
STK33_NOMO_DN	263	0.699332	3	4.41096	0.0333999	0.386772	NUDT11, SHISA2, ZDHHC23
NFE2L2.V2	462	1.22848	4	3.35224	0.0352775	0.386772	CPLX1, CYCS, FTH1, SHISA2
KRAS.600.LUNG.BREAST_UP.V1_DN	276	0.7339	3	4.19973	0.0376878	0.386772	CRABP2, IFI44L, MRPL41
TBK1.DF_DN	281	0.747195	3	4.12374	0.0394084	0.386772	PDHX, PRKRA, SLC39A8
NRL_DN.V1_DN	130	0.345677	2	5.94086	0.0471696	0.386772	RNASE4, SMPDL3A
