Category	Size	ExpCount	Count	OddsRatio	Pvalue	PvalueAdj	Genes
Inhibition of PKR	1472	3.91413	39	14.4829	3.36899e-28	4.17755e-25	ACACB, ACADM, ACAT1, ACO2, ACSL4, AMY1A, B4GALT2, CA9, CALM2, CKB, CYCS, DECR1, DLAT, DLD, ESRRA, ETFDH, GOT1, GSTM1, HADHB, HSD17B12, ISCU, MCCC1, MGST3, NDUFA4, NDUFB10, NDUFB9, NDUFV1, NUDT11, OGDH, PDHA1, PDHX, SDHA, SLC25A5, SUCLA2, UQCRB, UQCRC1, UQCRC2, MPC1, MPC2
Senescence-Associated Secretory Phenotype (SASP)	132	0.350996	19	74.4043	8.80491e-28	5.45904e-25	ACO2, CYCS, DLAT, DLD, ETFDH, NDUFA4, NDUFB10, NDUFB9, NDUFV1, OGDH, PDHA1, PDHX, SDHA, SUCLA2, UQCRB, UQCRC1, UQCRC2, MPC1, MPC2
Oxidative Stress Induced Senescence	42	0.11168	10	127.494	1.66492e-17	6.88167e-15	ACO2, DLAT, DLD, OGDH, PDHA1, PDHX, SDHA, SUCLA2, MPC1, MPC2
Polymerase switching	76	0.202088	10	61.7699	1.00138e-14	3.10428e-12	CYCS, ETFDH, NDUFA4, NDUFB10, NDUFB9, NDUFV1, SDHA, UQCRB, UQCRC1, UQCRC2
Polymerase switching on the C-strand of the telomere	94	0.249951	10	48.5145	9.11289e-14	2.26e-11	CYCS, ETFDH, NDUFA4, NDUFB10, NDUFB9, NDUFV1, SDHA, UQCRB, UQCRC1, UQCRC2
Other semaphorin interactions	20	0.0531811	6	168.938	1.17469e-11	2.42769e-09	DLAT, DLD, PDHA1, PDHX, MPC1, MPC2
Cellular response to hypoxia	19	0.0505221	5	139.588	1.38214e-09	2.44836e-07	ACO2, DLD, OGDH, SDHA, SUCLA2
PI3K events in ERBB2 signaling	12	0.0319087	4	193.807	2.31754e-08	3.20186e-06	DLAT, DLD, PDHA1, PDHX
Downregulation of ERBB2:ERBB3 signaling	173	0.460017	8	19.3809	2.32393e-08	3.20186e-06	ACACB, ACADM, ACAT1, ACSL4, DECR1, ESRRA, HADHB, HSD17B12
Interconversion of 2-oxoglutarate and 2-hydroxyglutarate	6	0.0159543	3	384.425	3.64787e-07	4.52336e-05	ACADM, DECR1, HADHB
